TIME_PERIOD,excess_reserves,short_rate,govt_yield_10y,ltd_ratio_calc
2010-11-01,215215.60714285716,0.5076363636363637,3.5882883152395113,107.9448654620019
2010-12-01,212500.17857142855,0.4131304347826087,3.924156167159325,107.55623201466275
2011-01-01,212365.9523809524,0.5739523809523811,4.0247331388248355,107.99912230875593
2011-02-01,213570.09523809524,0.6221,4.1087283714100495,107.93543683128858
2011-03-01,212916.89285714287,0.5736956521739129,4.13342734623931,108.05926354227806
2011-04-01,210462.0,0.8811052631578948,4.239662093194838,107.68568081448693
2011-05-01,209474.07142857145,0.9483636363636361,4.150036943784551,107.93001266735074
2011-06-01,208965.77142857143,1.0390454545454546,4.0909510802751905,107.5053546462587
2011-07-01,210874.14285714287,0.926809523809524,4.247365223299878,107.6577068503266
2011-08-01,211451.9642857143,0.820782608695652,3.979333429662475,107.7981869731792
2011-09-01,209493.25714285715,0.9204545454545454,3.8890502314871864,107.74343714075607
2011-10-01,208675.42857142855,0.8745714285714289,4.066567787094725,107.7456438690913
2011-11-01,208931.92857142855,0.7049999999999998,4.5461269684662895,107.95614225273627
2011-12-01,212216.57142857145,0.5420476190476191,4.2935051150202534,106.73901569377058
2012-01-01,212314.9428571429,0.29504545454545456,4.131684488227283,106.8874681719412
2012-02-01,108057.57142857143,0.28061904761904766,3.7345084231732977,106.26591656144487
2012-03-01,108862.82142857143,0.2717272727272727,3.599695623396705,106.38254779028149
2012-04-01,109647.17857142857,0.2601052631578947,3.7321039136858083,106.47953095456025
2012-05-01,110490.0,0.252,3.6317361181533965,106.16194937126428
2012-06-01,110787.57142857143,0.24704761904761907,3.72862574108332,105.79376665166502
2012-07-01,111525.75,0.0992272727272727,3.6165519167064186,106.14059366059696
2012-08-01,510228.6428571429,0.02508695652173909,3.482189200113508,106.1153906834109
2012-09-01,540017.8,0.014299999999999993,3.3930482642467092,105.91634164581198
2012-10-01,538114.3571428572,0.005695652173912991,3.186704355295704,105.93788909455158
2012-11-01,529154.4285714285,-0.006500000000000006,3.0896602887713174,105.40714210957043
2012-12-01,509877.6071428572,-0.011578947368421105,2.9600227967314834,104.61942226110592
2013-01-01,488997.9142857143,-0.016,2.9697876893979807,104.75058533519802
2013-02-01,466298.1071428572,-0.017350000000000004,3.031061750070403,104.50763941294645
2013-03-01,403018.5,-0.01805000000000001,2.9928835432143517,103.88934688053124
2013-04-01,346012.14285714284,-0.004000000000000101,2.7908620846471743,103.7885125047938
2013-05-01,322217.3214285714,-0.006272727272727305,2.6811007582353708,103.10686117499668
2013-06-01,300343.2571428571,0.0011499999999999982,3.0157382481120103,102.70067484970606
2013-07-01,286482.28571428574,0.008130434782608692,2.9707857701370686,102.8143198482264
2013-08-01,269610.53571428574,-0.0030000000000000027,2.9973789320757804,102.6016086036698
2013-09-01,274538.65714285715,-0.004666666666666708,3.0183375897107014,102.67420607152273
2013-10-01,268426.0,0.0083478260869565,2.8539012969281763,102.53253704883087
2013-11-01,244866.9714285714,0.018095238095238095,2.742138586255706,102.22333845773426
2013-12-01,220244.07142857145,0.08364999999999999,2.8344129885447304,102.03645664874048
2014-01-01,248080.22857142857,0.11109090909090909,2.7403879615104425,102.20163008227563
2014-02-01,216033.67857142855,0.07169999999999989,2.559059573073336,101.79283977389734
2014-03-01,201109.07142857145,0.1068571428571428,2.4660280796373475,101.78088682062855
2014-04-01,195215.5,0.16885,2.3882888777535696,101.91143492010161
2014-05-01,191237.77142857143,0.163047619047619,2.2457881969562963,101.21514719062932
2014-06-01,192257.82142857145,-0.009238095238095309,2.091775121018689,101.06369028327948
2014-07-01,214269.39285714287,-0.04173913043478271,1.956499054453585,101.03236802302278
2014-08-01,210230.0,-0.06709523809523811,1.7706116540930057,100.72169099881711
2014-09-01,210106.64285714287,-0.07840909090909101,1.6604136981636979,101.04363697846495
2014-10-01,192640.4642857143,-0.0894782608695652,1.6167087231749298,100.94571773008695
